Mi, 22 Jul 2020 11:23:51 +0000  fade_in 1 3 None None
Mi, 22 Jul 2020 11:24:21 +0000  fade_in 0 3 None None
Mi, 22 Jul 2020 11:24:23 +0000  RS_intro 1 3 0 None
Mi, 22 Jul 2020 11:24:46 +0000  RS_intro 0 3 0 None
Mi, 22 Jul 2020 11:24:46 +0000  RS_rec 1 3 0 None
Mi, 22 Jul 2020 11:27:50 +0000  RS_rec 0 3 close None
Mi, 22 Jul 2020 11:27:50 +0000  RS_intro 1 3 1 None
Mi, 22 Jul 2020 11:28:13 +0000  RS_intro 0 3 1 None
Mi, 22 Jul 2020 11:28:13 +0000  RS_rec 1 3 1 None
Mi, 22 Jul 2020 11:31:16 +0000  RS_rec 0 3 open None
Mi, 22 Jul 2020 11:31:31 +0000  QA_intro 1 3 None None
Mi, 22 Jul 2020 11:32:13 +0000  QA_intro 0 3 None None
Mi, 22 Jul 2020 11:32:15 +0000  QA_rec 1 3 0 0
Mi, 22 Jul 2020 11:32:35 +0000  QA_rec 0 3 0 0
Mi, 22 Jul 2020 11:32:35 +0000  Run-3, Block-0, Trial-0, Q_cnt-150, Q_sen-Alchemisten haben geglaubt, sie können Gold herstellen., Q_cen-herstellen
Mi, 22 Jul 2020 11:32:36 +0000  QA_rec 1 3 0 1
Mi, 22 Jul 2020 11:32:56 +0000  QA_rec 0 3 0 1
Mi, 22 Jul 2020 11:32:56 +0000  Run-3, Block-0, Trial-1, Q_cnt-151, Q_sen-Er ist ein Experte für Computer und kennt alle technischen Details., Q_cen-kennt
Mi, 22 Jul 2020 11:32:57 +0000  QA_rec 1 3 0 2
Mi, 22 Jul 2020 11:33:17 +0000  QA_rec 0 3 0 2
Mi, 22 Jul 2020 11:33:17 +0000  Run-3, Block-0, Trial-2, Q_cnt-152, Q_sen-Er sieht endlich ein Licht am Ende des Tunnels., Q_cen-sieht
Mi, 22 Jul 2020 11:33:18 +0000  QA_rec 1 3 0 3
Mi, 22 Jul 2020 11:33:38 +0000  QA_rec 0 3 0 3
Mi, 22 Jul 2020 11:33:38 +0000  Run-3, Block-0, Trial-3, Q_cnt-153, Q_sen-Entschuldigung, können Sie mir ein Taxi rufen?, Q_cen-rufen
Mi, 22 Jul 2020 11:33:39 +0000  QA_rec 1 3 0 4
Mi, 22 Jul 2020 11:33:59 +0000  QA_rec 0 3 0 4
Mi, 22 Jul 2020 11:33:59 +0000  Run-3, Block-0, Trial-4, Q_cnt-154, Q_sen-Wenn es kalt wird, muss ich einen warmen Pullover tragen., Q_cen-tragen
Mi, 22 Jul 2020 11:34:00 +0000  QA_rec 1 3 0 5
Mi, 22 Jul 2020 11:34:20 +0000  QA_rec 0 3 0 5
Mi, 22 Jul 2020 11:34:20 +0000  Run-3, Block-0, Trial-5, Q_cnt-155, Q_sen-Sarah badet lieber abends in der Wanne., Q_cen-badet
Mi, 22 Jul 2020 11:34:21 +0000  QA_rec 1 3 0 6
