Di, 11 Aug 2020 10:55:06 +0000  fade_in 1 0 None None
Di, 11 Aug 2020 10:55:36 +0000  fade_in 0 0 None None
Di, 11 Aug 2020 10:55:38 +0000  RS_intro 1 0 0 None
Di, 11 Aug 2020 10:56:01 +0000  RS_intro 0 0 0 None
Di, 11 Aug 2020 10:56:01 +0000  RS_rec 1 0 0 None
Di, 11 Aug 2020 10:59:04 +0000  RS_rec 0 0 close None
Di, 11 Aug 2020 10:59:04 +0000  RS_intro 1 0 1 None
Di, 11 Aug 2020 10:59:28 +0000  RS_intro 0 0 1 None
Di, 11 Aug 2020 10:59:28 +0000  RS_rec 1 0 1 None
Di, 11 Aug 2020 11:02:31 +0000  RS_rec 0 0 open None
Di, 11 Aug 2020 11:02:46 +0000  QA_intro 1 0 None None
Di, 11 Aug 2020 11:03:27 +0000  QA_intro 0 0 None None
Di, 11 Aug 2020 11:03:29 +0000  QA_rec 1 0 0 0
Di, 11 Aug 2020 11:03:49 +0000  QA_rec 0 0 0 0
Di, 11 Aug 2020 11:03:49 +0000  Run-0, Block-0, Trial-0, Q_cnt-0, Q_sen-Meine Mutter kocht heute Mittag nicht, wir gehen aus zum Essen., Q_cen-kocht
Di, 11 Aug 2020 11:03:50 +0000  QA_rec 1 0 0 1
Di, 11 Aug 2020 11:04:10 +0000  QA_rec 0 0 0 1
Di, 11 Aug 2020 11:04:10 +0000  Run-0, Block-0, Trial-1, Q_cnt-1, Q_sen-Der Ausgang muss frei bleiben. , Q_cen-bleiben
Di, 11 Aug 2020 11:04:11 +0000  QA_rec 1 0 0 2
Di, 11 Aug 2020 11:04:31 +0000  QA_rec 0 0 0 2
Di, 11 Aug 2020 11:04:31 +0000  Run-0, Block-0, Trial-2, Q_cnt-2, Q_sen-Ich glaube nicht, dass es regnen wird, aber ich werde für alle Fälle einen Schirm mitnehmen., Q_cen-glaube
Di, 11 Aug 2020 11:04:32 +0000  QA_rec 1 0 0 3
Di, 11 Aug 2020 11:04:52 +0000  QA_rec 0 0 0 3
Di, 11 Aug 2020 11:04:52 +0000  Run-0, Block-0, Trial-3, Q_cnt-3, Q_sen-Es ist vorstellbar, dass er diese schwierige Prüfung nicht bestehen kann. , Q_cen-bestehen
Di, 11 Aug 2020 11:04:53 +0000  QA_rec 1 0 0 4
Di, 11 Aug 2020 11:05:13 +0000  QA_rec 0 0 0 4
Di, 11 Aug 2020 11:05:13 +0000  Run-0, Block-0, Trial-4, Q_cnt-4, Q_sen-Sie fühlt sich während der Quarantäne sehr langweilig., Q_cen-fühlt
Di, 11 Aug 2020 11:05:14 +0000  QA_rec 1 0 0 5
Di, 11 Aug 2020 11:05:34 +0000  QA_rec 0 0 0 5
Di, 11 Aug 2020 11:05:34 +0000  Run-0, Block-0, Trial-5, Q_cnt-5, Q_sen-Zu Beginn der Konferenz wird der Präsident eine Rede halten., Q_cen-halten
Di, 11 Aug 2020 11:05:35 +0000  QA_rec 1 0 0 6
Di, 11 Aug 2020 11:05:55 +0000  QA_rec 0 0 0 6
Di, 11 Aug 2020 11:05:55 +0000  Run-0, Block-0, Trial-6, Q_cnt-6, Q_sen-Jede nennt sie Nini, aber ihr wirklicher Name ist Martina., Q_cen-nennt
Di, 11 Aug 2020 11:05:56 +0000  QA_rec 1 0 0 7
Di, 11 Aug 2020 11:06:16 +0000  QA_rec 0 0 0 7
Di, 11 Aug 2020 11:06:16 +0000  Run-0, Block-0, Trial-7, Q_cnt-7, Q_sen-Er probierte, die Tür mit dem falschen Schlüssel zu öffnen., Q_cen-öffnen
Di, 11 Aug 2020 11:06:17 +0000  QA_rec 1 0 0 8
Di, 11 Aug 2020 11:06:37 +0000  QA_rec 0 0 0 8
Di, 11 Aug 2020 11:06:37 +0000  Run-0, Block-0, Trial-8, Q_cnt-8, Q_sen-Er muss arbeiten, um seine beiden Kinder großzuziehen., Q_cen-arbeiten
Di, 11 Aug 2020 11:06:38 +0000  QA_rec 1 0 0 9
Di, 11 Aug 2020 11:06:58 +0000  QA_rec 0 0 0 9
Di, 11 Aug 2020 11:06:58 +0000  Run-0, Block-0, Trial-9, Q_cnt-9, Q_sen-Chris hat Zahnschmerzen, aber er fürchtet sich vor dem Zahnarzt., Q_cen-fürchtet
Di, 11 Aug 2020 11:06:59 +0000  QA_rec 1 0 0 10
Di, 11 Aug 2020 11:07:19 +0000  QA_rec 0 0 0 10
Di, 11 Aug 2020 11:07:19 +0000  Run-0, Block-0, Trial-10, Q_cnt-10, Q_sen-Dieses Zelt wurde für extreme Wetterlagen, z.B. Sturm, Schneesturm, gebaut., Q_cen-gebaut
