Mi, 15 Jul 2020 10:34:04 +0000  fade_in 1 0 None None
Mi, 15 Jul 2020 10:34:34 +0000  fade_in 0 0 None None
Mi, 15 Jul 2020 10:34:36 +0000  RS_intro 1 0 0 None
Mi, 15 Jul 2020 10:34:59 +0000  RS_intro 0 0 0 None
Mi, 15 Jul 2020 10:34:59 +0000  RS_rec 1 0 0 None
Mi, 15 Jul 2020 10:38:02 +0000  RS_rec 0 0 close None
Mi, 15 Jul 2020 10:38:02 +0000  RS_intro 1 0 1 None
Mi, 15 Jul 2020 10:38:25 +0000  RS_intro 0 0 1 None
Mi, 15 Jul 2020 10:38:25 +0000  RS_rec 1 0 1 None
Mi, 15 Jul 2020 10:41:28 +0000  RS_rec 0 0 open None
Mi, 15 Jul 2020 10:41:47 +0000  QA_intro 1 0 None None
Mi, 15 Jul 2020 10:42:31 +0000  QA_intro 0 0 None None
Mi, 15 Jul 2020 10:42:33 +0000  QA_rec 1 0 0 0
Mi, 15 Jul 2020 10:42:53 +0000  QA_rec 0 0 0 0
Mi, 15 Jul 2020 10:42:53 +0000  Run-0, Block-0, Trial-0, Q_cnt-0, Q_sen-Bei der Bewerbung müssen Sie Ihre Motivation begründen., Q_cen-begründen
Mi, 15 Jul 2020 10:42:54 +0000  QA_rec 1 0 0 1
Mi, 15 Jul 2020 10:43:14 +0000  QA_rec 0 0 0 1
Mi, 15 Jul 2020 10:43:14 +0000  Run-0, Block-0, Trial-1, Q_cnt-1, Q_sen-Auf Lavaerde wachsen sehr gute Weintrauben., Q_cen-wachsen
Mi, 15 Jul 2020 10:43:15 +0000  QA_rec 1 0 0 2
Mi, 15 Jul 2020 10:43:35 +0000  QA_rec 0 0 0 2
Mi, 15 Jul 2020 10:43:35 +0000  Run-0, Block-0, Trial-2, Q_cnt-2, Q_sen-Wir planen eine Route durch das ganze Land, von Westen bis Osten., Q_cen-planen
Mi, 15 Jul 2020 10:43:36 +0000  QA_rec 1 0 0 3
Mi, 15 Jul 2020 10:43:56 +0000  QA_rec 0 0 0 3
Mi, 15 Jul 2020 10:43:56 +0000  Run-0, Block-0, Trial-3, Q_cnt-3, Q_sen-Sie haben Beeren gesammelt und wilde Tiere gejagt., Q_cen-gejagt
Mi, 15 Jul 2020 10:43:57 +0000  QA_rec 1 0 0 4
Mi, 15 Jul 2020 10:44:17 +0000  QA_rec 0 0 0 4
Mi, 15 Jul 2020 10:44:17 +0000  Run-0, Block-0, Trial-4, Q_cnt-4, Q_sen-Die Absolventen feiern ihren erfolgreichen Abschluss an der Universität., Q_cen-feiern
Mi, 15 Jul 2020 10:44:18 +0000  QA_rec 1 0 0 5
Mi, 15 Jul 2020 10:44:38 +0000  QA_rec 0 0 0 5
Mi, 15 Jul 2020 10:44:38 +0000  Run-0, Block-0, Trial-5, Q_cnt-5, Q_sen-Ich glaube nicht, dass es regnen wird, aber ich werde für alle Fälle einen Schirm mitnehmen., Q_cen-glaube
Mi, 15 Jul 2020 10:44:39 +0000  QA_rec 1 0 0 6
Mi, 15 Jul 2020 10:44:59 +0000  QA_rec 0 0 0 6
Mi, 15 Jul 2020 10:44:59 +0000  Run-0, Block-0, Trial-6, Q_cnt-6, Q_sen-Plastik Müll belastet die Umwelt., Q_cen-belastet
Mi, 15 Jul 2020 10:45:00 +0000  QA_rec 1 0 0 7
Mi, 15 Jul 2020 10:45:20 +0000  QA_rec 0 0 0 7
Mi, 15 Jul 2020 10:45:20 +0000  Run-0, Block-0, Trial-7, Q_cnt-7, Q_sen-Sie müssen mehr bezahlen, es fehlen noch ein paar Cent., Q_cen-fehlen
Mi, 15 Jul 2020 10:45:21 +0000  QA_rec 1 0 0 8
Mi, 15 Jul 2020 10:45:42 +0000  QA_rec 0 0 0 8
Mi, 15 Jul 2020 10:45:42 +0000  Run-0, Block-0, Trial-8, Q_cnt-8, Q_sen-Ich musste für meinen Vortrag eine Menge Informationen sammeln., Q_cen-sammeln
Mi, 15 Jul 2020 10:45:43 +0000  QA_rec 1 0 0 9
Mi, 15 Jul 2020 10:46:03 +0000  QA_rec 0 0 0 9
Mi, 15 Jul 2020 10:46:03 +0000  Run-0, Block-0, Trial-9, Q_cnt-9, Q_sen-Wir werden jedes Paket innerhalb von fünf Arbeitstagen liefern., Q_cen-liefern
Mi, 15 Jul 2020 10:46:04 +0000  QA_rec 1 0 0 10
Mi, 15 Jul 2020 10:46:24 +0000  QA_rec 0 0 0 10
Mi, 15 Jul 2020 10:46:24 +0000  Run-0, Block-0, Trial-10, Q_cnt-10, Q_sen-Es hat die ganze Woche geregnet, aber heute scheint endlich die Sonne. , Q_cen-scheint
Mi, 15 Jul 2020 10:46:25 +0000  QA_rec 1 0 0 11
Mi, 15 Jul 2020 10:46:45 +0000  QA_rec 0 0 0 11
Mi, 15 Jul 2020 10:46:45 +0000  Run-0, Block-0, Trial-11, Q_cnt-11, Q_sen-Die Produkte, die ich bestellt hatte, kamen drei Tage später an., Q_cen-kamen
Mi, 15 Jul 2020 10:46:46 +0000  QA_rec 1 0 0 12
Mi, 15 Jul 2020 10:47:06 +0000  QA_rec 0 0 0 12
Mi, 15 Jul 2020 10:47:06 +0000  Run-0, Block-0, Trial-12, Q_cnt-12, Q_sen-Das Flugzeug steht kurz vor dem Abflug, wir müssen uns beeilen., Q_cen-beeilen
Mi, 15 Jul 2020 10:47:07 +0000  QA_rec 1 0 0 13
Mi, 15 Jul 2020 10:47:27 +0000  QA_rec 0 0 0 13
Mi, 15 Jul 2020 10:47:27 +0000  Run-0, Block-0, Trial-13, Q_cnt-13, Q_sen-Ich habe gestern Abend mit meiner Mutter geredet., Q_cen-geredet
Mi, 15 Jul 2020 10:47:28 +0000  QA_rec 1 0 0 14
Mi, 15 Jul 2020 10:47:48 +0000  QA_rec 0 0 0 14
Mi, 15 Jul 2020 10:47:48 +0000  Run-0, Block-0, Trial-14, Q_cnt-14, Q_sen-Wir sollen unsere Hände täglich aus Hygiene waschen., Q_cen-waschen
Mi, 15 Jul 2020 10:47:49 +0000  QA_rec 1 0 0 15
Mi, 15 Jul 2020 10:48:09 +0000  QA_rec 0 0 0 15
Mi, 15 Jul 2020 10:48:09 +0000  Run-0, Block-0, Trial-15, Q_cnt-15, Q_sen-Können Sie mir einen guten Augenarzt empfehlen?, Q_cen-empfehlen
Mi, 15 Jul 2020 10:48:10 +0000  QA_rec 1 0 0 16
Mi, 15 Jul 2020 10:48:30 +0000  QA_rec 0 0 0 16
Mi, 15 Jul 2020 10:48:30 +0000  Run-0, Block-0, Trial-16, Q_cnt-16, Q_sen-Paul hat zum Abendessen Kartoffelsuppe gegessen., Q_cen-gegessen
Mi, 15 Jul 2020 10:48:31 +0000  QA_rec 1 0 0 17
Mi, 15 Jul 2020 10:48:51 +0000  QA_rec 0 0 0 17
Mi, 15 Jul 2020 10:48:51 +0000  Run-0, Block-0, Trial-17, Q_cnt-17, Q_sen-Können Sie die Kleidung des Täters beschreiben?, Q_cen-beschreiben
Mi, 15 Jul 2020 10:48:52 +0000  QA_rec 1 0 0 18
Mi, 15 Jul 2020 10:49:12 +0000  QA_rec 0 0 0 18
Mi, 15 Jul 2020 10:49:12 +0000  Run-0, Block-0, Trial-18, Q_cnt-18, Q_sen-Ich muss mich bemühen, das Ziel des Projektes zu erreichen., Q_cen-erreichen
Mi, 15 Jul 2020 10:49:13 +0000  QA_rec 1 0 0 19
Mi, 15 Jul 2020 10:49:33 +0000  QA_rec 0 0 0 19
Mi, 15 Jul 2020 10:49:33 +0000  Run-0, Block-0, Trial-19, Q_cnt-19, Q_sen-Martin geht in ein Reisebüro und lässt sich von einem Angestellten beraten., Q_cen-beraten
Mi, 15 Jul 2020 10:49:34 +0000  QA_rec 1 0 0 20
Mi, 15 Jul 2020 10:49:54 +0000  QA_rec 0 0 0 20
Mi, 15 Jul 2020 10:49:54 +0000  Run-0, Block-0, Trial-20, Q_cnt-20, Q_sen-Die Taxifahrer sollten während Mitternacht nicht hupen., Q_cen-hupen
Mi, 15 Jul 2020 10:49:55 +0000  QA_rec 1 0 0 21
Mi, 15 Jul 2020 10:50:15 +0000  QA_rec 0 0 0 21
Mi, 15 Jul 2020 10:50:15 +0000  Run-0, Block-0, Trial-21, Q_cnt-21, Q_sen-Keine Sorge, ich werde mich um Ihr Kind kümmern., Q_cen-kümmern
Mi, 15 Jul 2020 10:50:16 +0000  QA_rec 1 0 0 22
Mi, 15 Jul 2020 10:50:36 +0000  QA_rec 0 0 0 22
Mi, 15 Jul 2020 10:50:36 +0000  Run-0, Block-0, Trial-22, Q_cnt-22, Q_sen-Howard Carter hat viele Schätze im Grab von Tutanchamun gefunden., Q_cen-gefunden
Mi, 15 Jul 2020 10:50:37 +0000  QA_rec 1 0 0 23
Mi, 15 Jul 2020 10:50:57 +0000  QA_rec 0 0 0 23
Mi, 15 Jul 2020 10:50:57 +0000  Run-0, Block-0, Trial-23, Q_cnt-23, Q_sen-Wir schafften es, das Projekt nach Plan abzuschließen., Q_cen-schafften
Mi, 15 Jul 2020 10:50:58 +0000  QA_rec 1 0 0 24
Mi, 15 Jul 2020 10:51:18 +0000  QA_rec 0 0 0 24
Mi, 15 Jul 2020 10:51:18 +0000  Run-0, Block-0, Trial-24, Q_cnt-24, Q_sen-Bitte waschen Sie Ihre Hände mit Seife., Q_cen-waschen
Mi, 15 Jul 2020 10:51:41 +0000  QA_rec 1 0 1 0
Mi, 15 Jul 2020 10:52:01 +0000  QA_rec 0 0 1 0
Mi, 15 Jul 2020 10:52:01 +0000  Run-0, Block-1, Trial-0, Q_cnt-25, Q_sen-Leichte Sprache ist eine Hilfe für Menschen , die keine schwierige Sprache verstehen., Q_cen-verstehen
Mi, 15 Jul 2020 10:52:02 +0000  QA_rec 1 0 1 1
Mi, 15 Jul 2020 10:52:22 +0000  QA_rec 0 0 1 1
Mi, 15 Jul 2020 10:52:22 +0000  Run-0, Block-1, Trial-1, Q_cnt-26, Q_sen-Um eine Kreditkarte zu bewerben, muss man älter als 18 werden. , Q_cen-bewerben
Mi, 15 Jul 2020 10:52:23 +0000  QA_rec 1 0 1 2
Mi, 15 Jul 2020 10:52:43 +0000  QA_rec 0 0 1 2
Mi, 15 Jul 2020 10:52:43 +0000  Run-0, Block-1, Trial-2, Q_cnt-27, Q_sen-Ich beendete meine Arbeit und erhielt eine neue Aufgabe., Q_cen-beendete
Mi, 15 Jul 2020 10:52:44 +0000  QA_rec 1 0 1 3
Mi, 15 Jul 2020 10:53:04 +0000  QA_rec 0 0 1 3
Mi, 15 Jul 2020 10:53:04 +0000  Run-0, Block-1, Trial-3, Q_cnt-28, Q_sen-Hiermit wird bestätigt, dass Frau Müller das Praktikum bei uns absolviert hat., Q_cen-bestätigt
Mi, 15 Jul 2020 10:53:05 +0000  QA_rec 1 0 1 4
Mi, 15 Jul 2020 10:53:25 +0000  QA_rec 0 0 1 4
Mi, 15 Jul 2020 10:53:25 +0000  Run-0, Block-1, Trial-4, Q_cnt-29, Q_sen-Danke für den Smoothie, den Sie mir machten., Q_cen-machten
Mi, 15 Jul 2020 10:53:26 +0000  QA_rec 1 0 1 5
Mi, 15 Jul 2020 10:53:46 +0000  QA_rec 0 0 1 5
Mi, 15 Jul 2020 10:53:46 +0000  Run-0, Block-1, Trial-5, Q_cnt-30, Q_sen-Sonja nimmt ihren Tee mit Milch und Zucker., Q_cen-nimmt
Mi, 15 Jul 2020 10:53:47 +0000  QA_rec 1 0 1 6
Mi, 15 Jul 2020 10:54:07 +0000  QA_rec 0 0 1 6
Mi, 15 Jul 2020 10:54:07 +0000  Run-0, Block-1, Trial-6, Q_cnt-31, Q_sen-Das Experiment hat eine Woche lang gedauert., Q_cen-gedauert
Mi, 15 Jul 2020 10:54:08 +0000  QA_rec 1 0 1 7
