run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,65.19612407684326,None,439.2334830760956,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",439.2334830760956,None,439.1947016477585,None,"Please keep relaxed and close your eyes.
",462.2988591194153,642.3404240608215,644.1239111423492,None,726.8456521034241,None,869.669310092926,909.7037439346313," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",869.669310092926,909.7037439346313,869.6485426187515,None,909.087140083313,None,Listen to the question and speak out your answer!,954.0896589756012,None,954.069647526741,956.0894041061401,Der Mond scheint hell.,scheint,955.4727756738663,956.8566370010376,957.2394146680832,None,970.6734566450119,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_000.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,973.1236379146576,None,973.1047706365586,975.1237289905548,Der Sturm entlaubte alle Bäume in unserem Garten.,entlaubte,974.5070338010788,None,978.0752227067948,None,989.7078766584397,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_001.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,993.0918400287628,None,993.072418665886,995.0913491249084,Morgen werden wir um sieben Uhr aufstehen.,aufstehen,994.4750697374344,997.0581231117249,997.4417836427689,None,1009.6587147474289,None,1011.07648396492,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_002.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1013.1096079349518,None,1013.0910975694657,1015.1091659069061,"Das verstehe ich nicht, was meinst du damit?",meinst,1014.4927208185196,1017.1757910251617,1017.559206700325,None,1029.6930587053298,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_003.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1033.1108310222626,None,1033.0910985231399,1035.110032081604,"„Ich heiße Sam“, war der erste Satz, den er in großen Buchstaben schreiben konnte.",schreiben,1034.4937717676162,None,1039.8935706377029,1040.9103219509125,1049.6940417051314,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_004.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1053.1116440296173,None,1053.0933375120162,1055.1110830307007,Vor dem Supermarkt kann man auf einer großen Fläche parken. ,parken,1054.4947576284408,None,1058.3612336874007,1059.377874135971,1069.6950607061385,1070.7118179798126,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_005.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1073.1119730472565,None,1073.0930955171584,1075.1119980812073,Er heißt tatsächlich Alexander doch alle nennen ihn Alex.,nennen,1074.4957628011703,1077.9454810619354,1078.3288278341292,None,1089.696047759056,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_006.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1093.1130669116974,None,1093.0953376054763,1095.1130120754242,"Sie war zu stolz, um ihn um Hilfe zu bitten.",bitten,1094.4967267274856,1097.4131140708923,1097.796455836296,None,1109.6970507860183,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_007.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1113.1145451068878,None,1113.0951397180556,1115.1139960289001,"Nachdem ich nicht da war, kann ich nichts dazu sagen.",sagen,1114.4977547883987,1117.5475499629974,1117.8974606752395,1118.9142680168152,1129.6980426073073,1130.7147691249847,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_008.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
2,0,2,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1133.1156799793243,None,1133.096218562126,1135.1150410175323,Die technologische Entwicklung schafft immer kleinere Computer.,schafft,1134.4987497091292,None,1138.6985606908797,None,1149.6992616415023,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1627/rec_QA_run_02_block_000_trial_009.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mai_31_1627,nibs_stage_1,3.2.3,59.99447873382777,
