pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,5.533931016921997,None,10.519541025161743,None,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,0,0,0,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,1,0,1,0,0,0,0,0,,,,,13.02135705947876,23.03638505935669,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,2,0,2,0,,,,,,,,,23.119060039520264,33.12042784690857,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,3,0,3,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1603,nibs_stage_1,3.2.3,59.9369521539442,
,,,,,,,,,,,,,,,,,,33.18696904182434,None,,,,,,,,,
