run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,59.96003317832947,None,269.4039330482483,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",269.4039330482483,None,269.40304350852966,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",292.421756029129,472.43182921409607,475.81496500968933,None,494.06646513938904,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",494.06646513938904,None,494.0645650625229,None,533.4512541294098,None,Listen to the question and speak out your answer!,536.5020461082458,None,536.5000513792038,538.501757144928,"Das gute Wetter wird halten, weil ich keine Wolken sehe.",halten,537.8848832845688,541.2185211181641,541.6185272932053,None,553.0856832265854,None,554.485787153244,555.4858391284943,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_000.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,557.5526871681213,None,557.5351564884186,559.5360260009766,Auf einer CD sind der Musik oder gesprochener Text gespeichert.,gespeichert,558.936016201973,None,563.3361691236496,564.3362801074982,574.1369551420212,None,575.520250082016,576.5202720165253,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_001.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,578.5873692035675,None,578.5862237215042,580.5870850086212,"Wenn eine Erkältung hat, kann mann niesen oder husten.",husten,579.9704502820969,583.2376110553741,583.6372281312943,584.6374731063843,595.171470284462,None,596.5716361999512,597.5715801715851,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_002.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,599.6557509899139,None,599.6375097036362,601.6385440826416,"Er bevorzugt die Farben gelb, orange und rot.",bevorzugt,601.0217541456223,None,604.5219062566757,None,616.2225841283798,None,617.6229071617126,618.6229331493378,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_003.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,620.6893010139465,None,620.6885687112808,622.6894011497498,"Das verstehe ich nicht, was meinst du damit?",meinst,622.0726763010025,624.7397091388702,625.1398230791092,None,637.2736982107162,None,638.6738049983978,639.6737542152405,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_004.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,641.7243461608887,None,641.7229458093643,643.7238340377808,Mir ist etwas Unangenehmes passiert.,passiert,643.1073261499405,645.4739241600037,645.8739362955093,646.8740780353546,658.3081721067429,None,659.7082099914551,660.7081801891327,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_005.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,662.758777141571,None,662.7407116889954,664.7417070865631,"Das Fenster ist offen, aber ich werde es schließen.",schließen,664.1417652368546,667.1419310569763,667.541815161705,668.5418140888214,679.3423622846603,None,680.7423582077026,681.7424051761627,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_006.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,683.8093340396881,None,683.7915967702866,685.792643070221,"Ausländische Studenten, die wenig Geld haben, brauchen ein Stipendium.",brauchen,685.1926482915878,689.6428990364075,690.0428382158279,691.0432300567627,700.3936032056808,None,701.8104121685028,None,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_007.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,704.8447170257568,None,704.8266105651855,706.8272891044617,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,706.2106612920761,None,710.6940191984177,None,721.4114722013474,None,722.8116960525513,723.8118290901184,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_008.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
1,0,1,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,725.9118711948395,None,725.8942917585373,727.8951621055603,Normalerweise lese ich Zeitungen online.,lese,727.2784622907639,730.2286260128021,730.6455031633377,None,742.4793161153793,None,743.8793520927429,744.8796410560608,./data/Subject_05/Session_03/Exp_data/2020_Aug_19_1105/rec_QA_run_01_block_000_trial_009.wav,,,,05,03,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,1,No,No,No,No,2020_Aug_19_1105,nibs_stage_1,3.2.3,60.074564977949905,
