run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,54.3774049282074,None,263.82121682167053,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",263.82121682167053,None,263.82137217521665,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",286.8392000198364,466.8482618331909,470.2316908836365,None,484.6158998012543,524.6180009841919," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",484.6158998012543,524.6180009841919,484.59909493923186,None,523.9847409725189,None,Listen to the question and speak out your answer!,528.1849358081818,None,528.1682414770127,530.1683778762817,"Ich rechne fest damit, dass er kommt.",rechne,529.551676106453,None,532.318537068367,None,544.7523940324784,None,546.1525549888611,547.1526238918304,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_000.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,549.219321012497,None,549.202835226059,551.20277094841,Mein älterer Bruder mag Rock spielen und hören.,hören,550.6028562307358,553.5028870105743,553.9029210329056,None,565.8035290956498,None,567.2036099433899,568.2036468982697,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_001.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,570.253744840622,None,570.2537123918534,572.2536079883575,Die Mutter rührt in ihren Töpfen und Pfannen.,rührt,571.6371172189713,574.2870819568634,574.7037671327591,None,586.8377340555191,587.8377640247345,588.2378368377686,589.2380039691925,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_002.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,591.2882828712463,None,591.2714022636414,593.271381855011,Ihr Regenschirm kann Sie vor dem Regen schützen.,schützen,592.6713481664658,None,595.7715750455857,None,607.8727072000504,None,609.2724099159241,610.2724628448486,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_003.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,612.3223550319672,None,612.3058611392976,614.3058140277863,"Pinguine bewohnen die Antarktis, wie auch Robben und große Seelöwen.",bewohnen,613.7057722330094,None,618.7059422254563,None,628.9068310976029,None,630.3068249225616,631.3068859577179,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_004.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,633.3574228286743,None,633.3569514513016,635.3570430278778,Alexander Bell hat das Telefon erfunden.,erfunden,634.7404070615769,637.4405269622803,637.8572011709214,638.8572509288788,649.9411981821061,None,651.3412449359894,652.3412268161774,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_005.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,654.4086239337921,None,654.3912923097611,656.3915259838104,"Wir sind stolz auf das, was wir bis jetzt geschafft haben.",geschafft,655.77472717762,659.1083328723907,659.5251641988755,None,670.9756291627884,671.9756379127502,672.3756458759308,673.375718832016,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_006.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,675.442305803299,None,675.4257723331452,677.4256789684296,Am Geburtstag hat mein Vater mir einen Geschenk geschenkt.,geschenkt,676.8255720853806,None,680.525856089592,None,692.0266581296921,None,693.4267208576202,694.4267609119415,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_007.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,696.4942948818207,None,696.4768264055252,698.4770469665527,Wir haben im Wald Beeren und Pilze gesammelt.,gesammelt,697.8600462198258,700.6436769962311,701.0436971902848,None,713.0607472181321,714.0609178543091,714.4609129428864,715.4610688686371,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_008.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,717.5447058677673,None,717.5276903867722,719.527843952179,"Da ich gestern Abend übergewichtig war, werde ich morgen eine neue Diät beginnen.",beginnen,718.9113641500473,None,724.0280771970749,None,734.1119211435318,None,735.5119860172272,736.5121178627014,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_009.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,738.5795860290527,None,738.5621833562851,740.5622639656067,Kann man gekeimte Kartoffeln noch essen?,essen,739.94575817585,742.1956739425659,742.6127351045609,None,755.1466360807419,None,756.5467259883881,757.5464568138123,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_010.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,759.6298928260803,None,759.6137864351273,761.613322019577,"Kunden sollten Produkte sorgfältig prüfen, bevor sie sie kaufen.",prüfen,760.9966190576554,765.0468668937683,765.4468382120133,None,776.1974042177201,777.1973929405212,777.5974109172821,778.597592830658,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1120/rec_QA_run_00_block_000_trial_011.wav,,,,03,02,English,A1,True,False,True,False,False,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_14_1120,nibs_stage_1,3.2.3,59.917173440073604,
